,Place ID,Place Name
172,ChIJcwuOZb-_IogR8U_1GiKY0dM,Lansing Community College
173,ChIJ7aQjxrMEIogRHzx5Xh86xMM,Central Michigan University
174,ChIJcwuOZb-_IogR8U_1GiKY0dM,Lansing Community College
175,ChIJ2dL1QcmtGYgRAQXZsoleXHQ,Secchia Center
176,ChIJcwuOZb-_IogR8U_1GiKY0dM,Lansing Community College
177,ChIJXdU378fOEIgRWqFVXuA3aH4,Michigan State University: Southwest Michigan Research and Extension Center
178,ChIJcwuOZb-_IogR8U_1GiKY0dM,Lansing Community College
179,ChIJcwuOZb-_IogR8U_1GiKY0dM,Lansing Community College
180,ChIJcwuOZb-_IogR8U_1GiKY0dM,Lansing Community College
181,ChIJcwuOZb-_IogR8U_1GiKY0dM,Lansing Community College
182,ChIJS8Go9cnSJIgRJqPsJXVRcgc,MSU Detroit Center
183,ChIJcwuOZb-_IogR8U_1GiKY0dM,Lansing Community College
184,ChIJ8575DkKCI4gRKTKOWgC80ZE,MSU Flint Area Medical Education
185,ChIJcwuOZb-_IogR8U_1GiKY0dM,Lansing Community College
186,ChIJcwuOZb-_IogR8U_1GiKY0dM,Lansing Community College
187,ChIJN_eBk2ivPIgRvkhLkecly5U,Southeast Area Park
188,ChIJcwuOZb-_IogR8U_1GiKY0dM,Lansing Community College
189,ChIJ8575DkKCI4gRKTKOWgC80ZE,MSU Flint Area Medical Education
190,ChIJcwuOZb-_IogR8U_1GiKY0dM,Lansing Community College
191,ChIJEd_RR1slPYgRioEEcWhIRwo,Mid Michigan Health Center
192,ChIJcwuOZb-_IogR8U_1GiKY0dM,Lansing Community College
193,ChIJjY9ZrTi8TU0R3XLpFFbiD_U,Bay College
194,ChIJcwuOZb-_IogR8U_1GiKY0dM,Lansing Community College
195,ChIJvxyNF53eI4gR2EDOwJOaVzs,Delta College - Main Campus
196,ChIJcwuOZb-_IogR8U_1GiKY0dM,Lansing Community College
197,ChIJn5dpAROsF4gRXKAoBDPM6A8,Glen Oaks Community College
198,ChIJcwuOZb-_IogR8U_1GiKY0dM,Lansing Community College
199,ChIJx6A0anfxF4gRJvrsP_mj970,Kellogg Community College
200,ChIJcwuOZb-_IogR8U_1GiKY0dM,Lansing Community College
201,ChIJ40sIxGHBJIgRIQtr--VXVKY,MSU Management Education Center
202,ChIJcwuOZb-_IogR8U_1GiKY0dM,Lansing Community College
203,ChIJr6Pbr-ZkO4gR38LX2mygGDc,Monroe County Community College
204,ChIJcwuOZb-_IogR8U_1GiKY0dM,Lansing Community College
205,ChIJfYQrXpuaGIgROBR0T4VmskE,Montcalm Community College
206,ChIJcwuOZb-_IogR8U_1GiKY0dM,Lansing Community College
207,ChIJcwuOZb-_IogR8U_1GiKY0dM,Lansing Community College
208,ChIJcwuOZb-_IogR8U_1GiKY0dM,Lansing Community College
209,ChIJ8VEmb8B8GYgRDpyVr8GCwxY,Muskegon Community College
210,ChIJcwuOZb-_IogR8U_1GiKY0dM,Lansing Community College
